epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1371.58,0.7134,0.47866,0.90717,0.9335,0.91012,0.94786,0.71969,0.90795,0.58954,1.01338,0.000242087,0.000242087,0.000242087
81,1388.36,0.72282,0.48861,0.90105,0.95847,0.88831,0.9638,0.73653,0.90183,0.5833,1.01044,0.000231088,0.000231088,0.000231088
82,1405.11,0.74059,0.48352,0.9054,0.95538,0.91593,0.96549,0.74015,0.8844,0.5641,0.99953,0.000220089,0.000220089,0.000220089
83,1421.59,0.72029,0.47969,0.92032,0.94591,0.93622,0.97167,0.72714,0.86799,0.55866,0.99347,0.00020909,0.00020909,0.00020909
84,1438.64,0.70338,0.47229,0.89853,0.95617,0.93399,0.96113,0.73094,0.87823,0.56188,0.99351,0.000198091,0.000198091,0.000198091
85,1455.87,0.71203,0.46463,0.9022,0.96222,0.92949,0.96777,0.7302,0.8788,0.54905,0.99441,0.000187092,0.000187092,0.000187092
86,1472.63,0.6962,0.45905,0.89614,0.95479,0.93429,0.96989,0.74288,0.84143,0.53474,0.97753,0.000176094,0.000176094,0.000176094
87,1489.49,0.68792,0.46097,0.90492,0.95527,0.93568,0.97056,0.74408,0.86278,0.55657,0.98568,0.000165095,0.000165095,0.000165095
88,1506.3,0.69739,0.46203,0.90205,0.92227,0.94403,0.97125,0.74687,0.86873,0.55123,0.98705,0.000154096,0.000154096,0.000154096
89,1523.41,0.692,0.46767,0.90037,0.95662,0.94234,0.97111,0.7471,0.87204,0.56065,0.98727,0.000143097,0.000143097,0.000143097
90,1539.93,0.67002,0.45221,0.89612,0.96323,0.91676,0.97657,0.74984,0.88109,0.53666,0.99287,0.000132098,0.000132098,0.000132098
91,1562.52,0.64388,0.39653,0.87591,0.973,0.9255,0.96136,0.73451,0.87611,0.55711,0.98368,0.000121099,0.000121099,0.000121099
92,1579.08,0.62115,0.39534,0.86085,0.94904,0.9427,0.9659,0.7349,0.87604,0.55114,0.9888,0.0001101,0.0001101,0.0001101
93,1596.09,0.61515,0.38182,0.876,0.96724,0.92691,0.96178,0.73988,0.86859,0.57171,0.98861,9.91012e-05,9.91012e-05,9.91012e-05
94,1613.59,0.60869,0.37508,0.87743,0.97625,0.92196,0.96381,0.74014,0.86918,0.55652,0.98924,8.81023e-05,8.81023e-05,8.81023e-05
95,1630.19,0.59693,0.37304,0.87374,0.93439,0.95845,0.96296,0.7405,0.88034,0.54712,0.99204,7.71034e-05,7.71034e-05,7.71034e-05
96,1647.29,0.59521,0.37415,0.8674,0.93034,0.94511,0.96266,0.73385,0.87324,0.52472,0.98744,6.61045e-05,6.61045e-05,6.61045e-05
97,1664.53,0.5854,0.37537,0.86992,0.97601,0.92184,0.96613,0.74471,0.8688,0.53159,0.99126,5.51056e-05,5.51056e-05,5.51056e-05
98,1682.15,0.57339,0.3709,0.86328,0.9757,0.91929,0.96714,0.74513,0.86634,0.5321,0.99183,4.41067e-05,4.41067e-05,4.41067e-05
99,1698.6,0.57338,0.36774,0.86378,0.96997,0.9207,0.96583,0.73442,0.86408,0.5301,0.9893,3.31078e-05,3.31078e-05,3.31078e-05
100,1715.6,0.5719,0.36584,0.86164,0.96839,0.92218,0.96585,0.74089,0.86359,0.52573,0.98766,2.21089e-05,2.21089e-05,2.21089e-05
