second,timestamp_hhmmss,label,class,confidence,bbox,frame
214,00:03:34,Frazier,1,0.961621,"[0.623627, 0.495572, 0.0731763, 0.156764]",6426
215,00:03:35,Frazier,1,0.950928,"[0.615449, 0.500481, 0.0863856, 0.150996]",6468
216,00:03:36,Frazier,1,0.930247,"[0.608967, 0.501885, 0.0946783, 0.147641]",6487
217,00:03:37,Frazier,1,0.93497,"[0.608619, 0.498657, 0.0961422, 0.154453]",6513
218,00:03:38,Frazier,1,0.93165,"[0.619884, 0.462445, 0.079483, 0.216818]",6544
219,00:03:39,Frazier,1,0.93163,"[0.632675, 0.45617, 0.056129, 0.228227]",6599
220,00:03:40,Frazier,1,0.938494,"[0.631522, 0.456119, 0.0581735, 0.226804]",6601
223,00:03:43,Frazier,1,0.740365,"[0.588285, 0.493492, 0.138259, 0.118162]",6711
224,00:03:44,Frazier,1,0.959737,"[0.615111, 0.500385, 0.0851203, 0.157715]",6742
225,00:03:45,Frazier,1,0.948542,"[0.613718, 0.510009, 0.0885676, 0.136674]",6751
226,00:03:46,Frazier,1,0.946859,"[0.613068, 0.502822, 0.0860968, 0.1513]",6806
227,00:03:47,Frazier,1,0.949076,"[0.605591, 0.499528, 0.0964657, 0.160484]",6833
228,00:03:48,Frazier,1,0.937649,"[0.610154, 0.498352, 0.0906957, 0.15772]",6842
229,00:03:49,Frazier,1,0.935692,"[0.623421, 0.488988, 0.0685022, 0.171118]",6883
230,00:03:50,Frazier,1,0.938938,"[0.61147, 0.536609, 0.0785986, 0.0978841]",6927
231,00:03:51,Frazier,1,0.959542,"[0.614719, 0.501341, 0.0836634, 0.152529]",6946
232,00:03:52,Frazier,1,0.939521,"[0.612345, 0.52497, 0.0784569, 0.118262]",6984
233,00:03:53,Frazier,1,0.953904,"[0.613834, 0.501974, 0.0868439, 0.151375]",6995
234,00:03:54,Frazier,1,0.958991,"[0.613915, 0.498854, 0.0889626, 0.153013]",7035
235,00:03:55,Frazier,1,0.955649,"[0.615887, 0.499431, 0.0841812, 0.156716]",7050
236,00:03:56,Frazier,1,0.938289,"[0.616325, 0.513769, 0.0869476, 0.127829]",7101
237,00:03:57,Frazier,1,0.953898,"[0.615488, 0.499751, 0.0845818, 0.155964]",7131
238,00:03:58,Frazier,1,0.954202,"[0.622669, 0.480051, 0.0753227, 0.189719]",7148
239,00:03:59,Frazier,1,0.917898,"[0.630213, 0.481593, 0.0552702, 0.1931]",7179
242,00:04:02,Freer,4,0.916903,"[0.59468, 0.452031, 0.105447, 0.162813]",7286
243,00:04:03,Freer,4,0.906876,"[0.621591, 0.477988, 0.0740425, 0.203566]",7300
244,00:04:04,Freer,4,0.825434,"[0.639918, 0.483406, 0.0343914, 0.195047]",7349
245,00:04:05,Freer,4,0.956619,"[0.631926, 0.477748, 0.0532265, 0.210722]",7369
246,00:04:06,Freer,4,0.958214,"[0.631867, 0.47209, 0.0591342, 0.213367]",7397
247,00:04:07,Freer,4,0.962642,"[0.635159, 0.482173, 0.0487006, 0.190057]",7414
248,00:04:08,Freer,4,0.957907,"[0.636277, 0.484366, 0.0563617, 0.184227]",7452
249,00:04:09,Freer,4,0.972316,"[0.623355, 0.466573, 0.0726307, 0.216919]",7474
250,00:04:10,Freer,4,0.95171,"[0.647349, 0.483029, 0.0337372, 0.184392]",7502
251,00:04:11,Freer,4,0.78143,"[0.646847, 0.45046, 0.033912, 0.232809]",7557
252,00:04:12,Freer,4,0.774901,"[0.648949, 0.468743, 0.0299201, 0.195772]",7571
253,00:04:13,Freer,4,0.795341,"[0.646433, 0.468529, 0.0326529, 0.212805]",7617
254,00:04:14,Freer,4,0.924912,"[0.628103, 0.481922, 0.0536391, 0.190548]",7648
255,00:04:15,Freer,4,0.88874,"[0.646482, 0.475182, 0.0331902, 0.206117]",7664
256,00:04:16,Freer,4,0.870074,"[0.646474, 0.49423, 0.0277493, 0.165909]",7680
257,00:04:17,Freer,4,0.894302,"[0.638723, 0.473627, 0.0428674, 0.201664]",7726
258,00:04:18,Freer,4,0.942364,"[0.630626, 0.464072, 0.0643873, 0.213036]",7744
259,00:04:19,Freer,4,0.945141,"[0.636959, 0.480159, 0.0513227, 0.191545]",7796
260,00:04:20,Freer,4,0.970703,"[0.636258, 0.479235, 0.0516468, 0.186621]",7816
261,00:04:21,Freer,4,0.965173,"[0.633529, 0.481492, 0.0566255, 0.183935]",7858
262,00:04:22,Freer,4,0.961258,"[0.634154, 0.479191, 0.0586315, 0.1831]",7887
263,00:04:23,Freer,4,0.973849,"[0.624489, 0.487895, 0.0750662, 0.180241]",7910
267,00:04:27,Frazier,1,0.837884,"[0.579627, 0.424108, 0.096211, 0.146803]",8039
268,00:04:28,Frazier,1,0.929336,"[0.609498, 0.467788, 0.0717074, 0.224899]",8068
269,00:04:29,Frazier,1,0.91508,"[0.618774, 0.455236, 0.0627337, 0.249011]",8075
270,00:04:30,Frazier,1,0.880501,"[0.632037, 0.454287, 0.0467079, 0.242303]",8107
271,00:04:31,Frazier,1,0.925839,"[0.637371, 0.473452, 0.050252, 0.192287]",8155
272,00:04:32,Frazier,1,0.896753,"[0.642451, 0.473013, 0.0440941, 0.18997]",8181
273,00:04:33,Frazier,1,0.937492,"[0.634842, 0.479511, 0.0594482, 0.183348]",8204
274,00:04:34,Frazier,1,0.946332,"[0.621927, 0.488718, 0.076383, 0.176944]",8238
275,00:04:35,Frazier,1,0.94001,"[0.623815, 0.486503, 0.0753796, 0.174379]",8267
276,00:04:36,Frazier,1,0.956531,"[0.623683, 0.501046, 0.0760136, 0.153876]",8282
277,00:04:37,Frazier,1,0.95048,"[0.633716, 0.475906, 0.056734, 0.186138]",8330
278,00:04:38,Frazier,1,0.920622,"[0.63687, 0.46763, 0.0522553, 0.208424]",8359
279,00:04:39,Frazier,1,0.906616,"[0.645863, 0.470104, 0.0411896, 0.192393]",8370
280,00:04:40,Frazier,1,0.91036,"[0.644063, 0.472625, 0.0428576, 0.19656]",8427
281,00:04:41,Frazier,1,0.913737,"[0.644336, 0.474805, 0.0392737, 0.194612]",8455
282,00:04:42,Frazier,1,0.946516,"[0.634254, 0.493928, 0.0528194, 0.169809]",8465
283,00:04:43,Frazier,1,0.94216,"[0.632936, 0.473884, 0.053153, 0.196955]",8519
284,00:04:44,Frazier,1,0.954964,"[0.6296, 0.476533, 0.0571025, 0.1941]",8525
285,00:04:45,Frazier,1,0.944092,"[0.631732, 0.47835, 0.0571555, 0.186711]",8569
286,00:04:46,Frazier,1,0.924334,"[0.631154, 0.473697, 0.0530846, 0.204881]",8599
287,00:04:47,Frazier,1,0.929059,"[0.624655, 0.476417, 0.0617853, 0.200379]",8638
288,00:04:48,Frazier,1,0.939872,"[0.615496, 0.497841, 0.0750353, 0.171914]",8652
289,00:04:49,Frazier,1,0.936092,"[0.619119, 0.493199, 0.0700726, 0.175093]",8672
290,00:04:50,Frazier,1,0.934669,"[0.632273, 0.493616, 0.0508193, 0.173157]",8727
291,00:04:51,Frazier,1,0.944165,"[0.630257, 0.501439, 0.0576553, 0.155861]",8732
292,00:04:52,Frazier,1,0.940475,"[0.629384, 0.481362, 0.0585293, 0.186776]",8772
293,00:04:53,Frazier,1,0.939463,"[0.628884, 0.480219, 0.0593561, 0.1944]",8795
294,00:04:54,Frazier,1,0.928203,"[0.632221, 0.48011, 0.0498414, 0.191009]",8836
295,00:04:55,Frazier,1,0.869723,"[0.642926, 0.466607, 0.0336535, 0.217934]",8862
296,00:04:56,Frazier,1,0.916109,"[0.628179, 0.453099, 0.0587647, 0.246907]",8903
297,00:04:57,Frazier,1,0.896473,"[0.622567, 0.454242, 0.0614192, 0.249071]",8913
298,00:04:58,Frazier,1,0.931542,"[0.6189, 0.468691, 0.0696281, 0.219715]",8949
299,00:04:59,Frazier,1,0.926911,"[0.62744, 0.465534, 0.0532446, 0.225111]",8974
304,00:05:04,Forceps,2,0.930792,"[0.619715, 0.504997, 0.0712879, 0.155221]",9143
305,00:05:05,Forceps,2,0.93736,"[0.635518, 0.490198, 0.0474409, 0.176081]",9157
306,00:05:06,Forceps,2,0.868844,"[0.648175, 0.487588, 0.0309825, 0.165255]",9187
307,00:05:07,Forceps,2,0.803727,"[0.669604, 0.503084, 0.0262054, 0.145351]",9223
308,00:05:08,Forceps,2,0.780049,"[0.66813, 0.496922, 0.0231989, 0.157408]",9246
